"Year","Division","WhyEnroll","StatsB4","DogvCat","Cute","GoodStudent","IntroExtro","SpontMeth","RLBrain","Genre","SocialTime","StudyTime"
"First","Science","I secretly love statistics","No","Dog person","Yes","Yes","Extrovert","Spontaneous","Right","Rap/Hip-Hop",9,9
"Second","Social Studies","It's part of my degree requirements","No","Dog person","Yes","Yes","Extrovert","Methodical","Left","Other",14,12
"Second","Social Studies","It's part of my degree requirements","No","Dog person","Yes","I'm an average student","Extrovert","Methodical","Left","Rap/Hip-Hop",30,18
"First","Social Studies","It's part of my degree requirements","Yes","Cat person","Yes","I'm an average student","Introvert","Methodical","Left","Pop",5,30
"First","Humanities","I secretly love statistics","No","Neither...I didn't know genetic engineering was so advanced","Yes","Yes","Extrovert","Methodical","Right","Rock",14,40
"First","Science","It's part of my degree requirements","Yes","Neither...I didn't know genetic engineering was so advanced","Yes","I'm an average student","Extrovert","Methodical","Left","Pop",6,15
"First","Science","I secretly love statistics","Yes","Dog person","Yes","Yes","Extrovert","Methodical","Left","Other",15,15
"First","Science","I secretly love statistics","No","Dog person","Yes","I'm an average student","Extrovert","Methodical","Left","Pop",8,25
"Third","Science","My [insert parental figure] made me","No","Neither...I didn't know genetic engineering was so advanced","Yes","No","Introvert","Spontaneous","Left","Country",14,10
"First","Science","I secretly love statistics","Yes","Cat person","Yes","Yes","Introvert","Methodical","Right","Other",5.5,17
"First","Social Studies","It's part of my degree requirements","No","Cat person","Yes","Yes","Introvert","Methodical","Left","Other",2,30
"First","Science","It's part of my degree requirements","No","Cat person","Yes","Yes","Introvert","Spontaneous","Right","Rock",10.5,30
"First","Social Studies","It's part of my degree requirements","Yes","Neither...I didn't know genetic engineering was so advanced","Yes","Yes","Introvert","Methodical","Left","Rock",2,30
"First","Science","I secretly love statistics","Yes","Cat person","Yes","I'm an average student","Introvert","Spontaneous","Left","Pop",10,10
"First","Science","It's part of my degree requirements","Yes","Cat person","No, I want to fail this class","Yes","Introvert","Spontaneous","Right","Other",16,31
"First","Social Studies","It's part of my degree requirements","No","Cat person","Yes","Yes","Extrovert","Spontaneous","Right","Rock",4,10
"First","Science","It's part of my degree requirements","Yes","Neither...I didn't know genetic engineering was so advanced","Yes","Yes","Introvert","Methodical","Right","Country",0,5
"Third","Social Studies","It's part of my degree requirements","No","Cat person","Yes","Yes","Introvert","Methodical","Left","Other",10,20
"Third","Science","It's part of my degree requirements","No","Dog person","Yes","I'm an average student","Introvert","Methodical","Left","Other",3,21
"Third","Science","It's part of my degree requirements","Yes","Dog person","Yes","I'm an average student","Introvert","Spontaneous","Left","Rap/Hip-Hop",20,20
"Fourth or Higher","Science","It's part of my degree requirements","Yes","Dog person","Yes","I'm an average student","Extrovert","Spontaneous","Left","Rap/Hip-Hop",8,12
"First","Science","It's part of my degree requirements","No","Dog person","Yes","Yes","Extrovert","Methodical","Right","Pop",4,10
"Second","Humanities","It's part of my degree requirements","No","Dog person","Yes","Yes","Introvert","Methodical","Right","Rap/Hip-Hop",5,8
"First","Science","It's part of my degree requirements","No","Dog person","Yes","Yes","Introvert","Methodical","Left","Pop",15,16
"Second","Social Studies","It's part of my degree requirements","No","Dog person","Yes","I'm an average student","Introvert","Spontaneous","Right","Pop",5,100
