"","Group","Count"
"1","Believer",5
"2","Believer",5
"3","Believer",5
"4","Believer",6
"5","Believer",6
"6","Believer",6
"7","Believer",6
"8","Believer",6
"9","Believer",7
"10","Believer",7
"11","Believer",7
"12","Believer",7
"13","Believer",7
"14","Believer",7
"15","Believer",7
"16","Believer",8
"17","Believer",8
"18","Believer",8
"19","Believer",8
"20","Believer",8
"21","Believer",8
"22","Believer",8
"23","Believer",8
"24","Believer",8
"25","Believer",8
"26","Believer",8
"27","Believer",8
"28","Believer",8
"29","Believer",8
"30","Believer",8
"31","Believer",9
"32","Believer",9
"33","Believer",9
"34","Believer",9
"35","Believer",9
"36","Believer",9
"37","Believer",9
"38","Believer",9
"39","Believer",9
"40","Believer",10
"41","Believer",10
"42","Believer",10
"43","Believer",10
"44","Believer",10
"45","Believer",10
"46","Believer",11
"47","Believer",11
"48","Believer",11
"49","Believer",11
"50","Believer",11
"51","Believer",11
"52","Believer",11
"53","Believer",11
"54","Believer",11
"55","Believer",11
"56","Believer",12
"57","Believer",12
"58","Believer",12
"59","Believer",12
"60","Believer",12
"61","Believer",12
"62","Believer",12
"63","Believer",12
"64","Believer",12
"65","Believer",12
"66","Believer",12
"67","Believer",12
"68","Believer",12
"69","Believer",12
"70","Believer",12
"71","Believer",12
"72","Believer",13
"73","Believer",13
"74","Believer",13
"75","Believer",13
"76","Believer",14
"77","Believer",14
"78","Believer",14
"79","Believer",14
"80","Believer",15
"81","Believer",15
"82","Believer",15
"83","Believer",15
"84","Believer",15
"85","Believer",15
"86","Believer",16
"87","Believer",18
"88","Skeptic",6
"89","Skeptic",6
"90","Skeptic",7
"91","Skeptic",7
"92","Skeptic",7
"93","Skeptic",7
"94","Skeptic",7
"95","Skeptic",8
"96","Skeptic",8
"97","Skeptic",8
"98","Skeptic",8
"99","Skeptic",8
"100","Skeptic",9
"101","Skeptic",9
"102","Skeptic",9
"103","Skeptic",9
"104","Skeptic",9
"105","Skeptic",9
"106","Skeptic",10
"107","Skeptic",10
"108","Skeptic",10
"109","Skeptic",10
"110","Skeptic",10
"111","Skeptic",10
"112","Skeptic",10
"113","Skeptic",10
"114","Skeptic",10
"115","Skeptic",10
"116","Skeptic",11
"117","Skeptic",11
"118","Skeptic",11
"119","Skeptic",11
"120","Skeptic",12
"121","Skeptic",12
"122","Skeptic",12
"123","Skeptic",12
"124","Skeptic",12
"125","Skeptic",13
"126","Skeptic",13
"127","Skeptic",13
"128","Skeptic",13
"129","Skeptic",14
"130","Skeptic",14
"131","Skeptic",15
