"","name","state","brthYr","post1906","region","handPost","thumbSty"
"1","Henry Thomas","TX",1874,"Not","Texas","Extended","Dead"
"2","Frank Stokes","TN",1887,"Not","Texas","Extended","Dead"
"3","Sam Collins","MS",1887,"Not","Texas","Extended","Utility"
"4","Peg Leg Howell","GA",1888,"Not","Texas","Stacked","Utility"
"5","Huddie Ledbetter","TX",1888,"Not","Texas","Stacked","Dead"
"6","Charley Jordan","AR",1890,"Not","Texas","Extended","Utility"
"7","Jim Jackson","MS",1890,"Not","Texas","Extended","Alternating"
"8","John Hurt","MS",1893,"Not","Texas","Extended","Alternating"
"9","Furry Lewis","TN",1893,"Not","Texas","Stacked","Alternating"
"10","Big Bill Broonzy","IL",1893,"Not","Texas","Stacked","Dead"
"11","Blind Blake","FL",1893,"Not","Texas","Extended","Alternating"
"12","Elizabeth Cotten","NC",1895,"Not","Texas","Extended","Alternating"
"13","Mance Lipscomb","TX",1895,"Not","Texas","Lutiform","Dead"
"14","Elvie Johnson","KY",1895,"Not","Texas","Extended","Alternating"
"15","Cat Iron","MS",1896,"Not","Texas","Extended","Alternating"
"16","Robert Willkins","MS",1896,"Not","Texas","Extended","Alternating"
"17","Jesse Fuller","GA",1896,"Not","Texas","Extended","Dead"
"18","Rev. Gary Davis","SC",1896,"Not","Texas","Extended","Alternating"
"19","Walter Phelps","SC",1896,"Not","Texas","Extended","Dead"
"20","Sam Chatmon","MS",1897,"Not","Texas","Extended","Utility"
"21","Memphis Minnie","MS",1897,"Not","Texas","Stacked","Utility"
"22","Lemon Jefferson","TX",1897,"Not","Texas","Extended","Dead"
"23","Sylvester Weaver","KY",1897,"Not","Texas","Stacked","Dead"
"24","Willie McTell","GA",1898,"Not","Texas","Stacked","Dead"
"25","Pink Anderson","SC",1900,"Not","Texas","Extended","Alternating"
"26","Ishmon Bracey","MS",1901,"Not","Texas","Lutiform","Utility"
"27","Skip James","MS",1902,"Not","Texas","Extended","Dead"
"28","Willie Johnson","TX",1902,"Not","Texas","Stacked","Dead"
"29","Peetie Wheatstraw","AR",1902,"Not","Texas","Lutiform","Dead"
"30","Son House","MS",1902,"Not","Texas","Extended","Dead"
"31","Barbecue Bob Hicks","GA",1902,"Not","Texas","Extended","Dead"
"32","Big Joe Williams","MS",1903,"Not","Texas","Stacked","Dead"
"33","Lum Guffin","TN",1903,"Not","Texas","Stacked","Alternating"
"34","Scrapper Blackwell","IN",1903,"Not","Texas","Extended","Dead"
"35","Scott Dunbar","MS",1904,"Not","Texas","Extended","Utility"
"36","Daniel K. Womack","VA",1904,"Not","Texas","Stacked","Alternating"
"37","Sleepy John Estes","TN",1904,"Not","Texas","Stacked","Dead"
"38","Roosevelt Holts","MS",1905,"Not","Texas","Extended","Utility"
"39","Arthur Crudup","MS",1905,"Not","Texas","Stacked","Utility"
"40","Joe McCoy","MS",1905,"Not","Texas","Lutiform","Dead"
"41","Black Ace","TX",1905,"Not","Texas","Extended","Alternating"
"42","Ed Bell","AL",1905,"Not","Texas","Stacked","Dead"
"43","Curley Weaver","GA",1906,"Post 1906","Texas","Extended","Utility"
"44","Carl Martin","VA",1906,"Post 1906","Texas","Extended","Utility"
"45","Babe Stovall","MS",1907,"Post 1906","Texas","Extended","Alternating"
"46","Shirley Griffith","MS",1908,"Post 1906","Texas","Stacked","Dead"
"47","Blind Boy Fuller","NC",1908,"Post 1906","Texas","Extended","Alternating"
"48","Henry Johnson","SC",1908,"Post 1906","Texas","Extended","Alternating"
"49","Howard Armstrong","TN",1909,"Post 1906","Texas","Stacked","Dead"
"50","Henry Townsend","IL",1909,"Post 1906","Texas","Stacked","Utility"
"51","Bukka White","MS",1909,"Post 1906","Texas","Stacked","Dead"
"52","Homesick James","TN",1910,"Post 1906","Texas","Stacked","Dead"
"53","Ted Bogan","SC",1910,"Post 1906","Texas","Extended","Alternating"
"54","Willie Trice","NC",1910,"Post 1906","Texas","Extended","Alternating"
"55","Herman E. Johnson","LA",1910,"Post 1906","Texas","Extended","Utility"
"56","Nat Reese","WV",1911,"Post 1906","Texas","Stacked","Utility"
"57","Robert Johnson","MS",1911,"Post 1906","Texas","Extended","Utility"
"58","Lightnin Hopkins","TX",1912,"Post 1906","Texas","Stacked","Dead"
"59","Etta Baker","NC",1913,"Post 1906","Texas","Extended","Alternating"
"60","Buddy Moss","GA",1914,"Post 1906","Texas","Extended","Utility"
"61","Robert Pete Williams","LA",1914,"Post 1906","Texas","Lutiform","Utility"
"62","Josh White","SC",1915,"Post 1906","Texas","Extended","Dead"
"63","Honeyboy Edwards","MS",1915,"Post 1906","Texas","Extended","Utility"
"64","Rev. Pearly Brown","GA",1915,"Post 1906","Texas","Stacked","Utility"
"65","Muddy Waters","MS",1915,"Post 1906","Texas","Lutiform","Dead"
"66","Brownie McGhee","TN",1915,"Post 1906","Texas","Extended","Utility"
"67","John Lee","AL",1915,"Post 1906","Texas","Extended","Alternating"
"68","Lil Son Jackson","TX",1916,"Post 1906","Texas","Extended","Utility"
"69","Frankie Lee Simms","TX",1917,"Post 1906","Texas","Stacked","Dead"
"70","Richard Trice","NC",1917,"Post 1906","Texas","Extended","Alternating"
"71","John Lee Hooker","MS",1917,"Post 1906","Texas","Lutiform","Utility"
"72","Archie Edwards","VA",1918,"Post 1906","Texas","Extended","Alternating"
"73","Elmore James","MS",1918,"Post 1906","Texas","Lutiform","Utility"
"74","Frank Hovington","DE",1919,"Post 1906","Texas","Extended","Alternating"
"75","Jim Brewer","MS",1920,"Post 1906","Texas","Stacked","Dead"
"76","Pernell Charity","VA",1920,"Post 1906","Texas","Extended","Alternating"
"77","Lowell Fulson","OK",1921,"Post 1906","Texas","Stacked","Utility"
"78","Joe Hill Louis","TN",1921,"Post 1906","Texas","Lutiform","Dead"
"79","John Jackson","VA",1924,"Post 1906","Texas","Lutiform","Alternating"
"80","George Bussey","GA",1924,"Post 1906","Texas","Stacked","Utility"
"81","Maxwell Street Jimmy Davis","MS",1925,"Post 1906","Texas","Lutiform","Dead"
"82","R.L. Burnside","MS",1926,"Post 1906","Texas","Stacked","Utility"
"83","Turnell Fodrell","VA",1927,"Post 1906","Texas","Extended","Alternating"
"84","Amos Stokes","GA",1928,"Post 1906","Texas","Extended","Alternating"
"85","John Dee Holeman","NC",1929,"Post 1906","Texas","Extended","Dead"
"86","John Cephas","VA",1930,"Post 1906","Texas","Extended","Alternating"
"87","Jukeboy Bonner","TX",1932,"Post 1906","Texas","Lutiform","Dead"
"88","Jessie Mae Hemphill","MS",1933,"Post 1906","Texas","Stacked","Utility"
"89","Jimmie Lee Harris","AL",1935,"Post 1906","Texas","Stacked","Dead"
"90","Snooks Eaglin","LA",1936,"Post 1906","Texas","Extended","Utility"
"91","Larry Johnson","GA",1938,"Post 1906","Texas","Extended","Alternating"
"92","Tom Winslow","NC",1938,"Post 1906","Texas","Extended","Alternating"
"93","Rober Belfour","MS",1940,"Post 1906","Texas","Stacked","Utility"
