"Location","Date","Area","Open_Closed_Area","Target","Cause","Fatalities","Injured","Total_Victims","Policemen_Killed","Age","Mental_Health_Issues","Race","Gender"
"Fort Lauderdale, Florida","1/6/2017","baggage claim area of the airport","Closed","random","terrorism",5,6,11,NA,26,"Yes","Asian, Latino, or Other","Male"
"Santa Barbara, California","5/23/2014","","Open+Closed","random","psycho",6,13,19,0,22,"Yes","White","Male"
"Kennesaw, Georgia","4/29/2014","Workplace","Closed","Work","terrorism",1,6,6,0,19,"No","White","Male"
"Killeen, Texas","4/2/2014","Fort Hood Army Post","Open","Other","psycho",4,16,19,3,34,"Yes","Asian, Latino, or Other","Male"
"Los Angeles, California","11/1/2013","Los Angeles International Airport","Open","Other","Anger/Frustration",1,3,4,1,23,"No","White","Male"
"Washington D.C.","9/16/2013","","Closed","random","terrorism",13,3,15,0,34,"Yes","Black","Male"
"Salisbury , Pennsylvania","8/5/2013","Ross Township","Closed","random","psycho",3,3,6,0,59,"No","White","Male"
"Santa Monica, California","6/7/2013","","Open+Closed","random","psycho",6,3,8,0,23,"Yes","White","Male"
"Mohawk, New York","3/13/2013","","Open+Closed","random","psycho",5,2,6,0,64,"No","White","Male"
"Ladera Ranch, California","2/19/2013","","Open+Closed","random","psycho",4,3,6,0,20,"Yes","White","Male"
"Irvine, California","2/3/2013","","Open+Closed","Work","Anger/Frustration",4,2,7,1,33,"Yes","Black","Male"
"South Valley, Albuquerque, New Mexico","1/19/2013","Home","Closed","Family/Personal","psycho",5,0,5,0,15,"Yes","Asian, Latino, or Other","Male"
"Newtown, Connecticut","12/14/2012","","Open+Closed","Children/School","terrorism",28,2,29,0,20,"Yes","White","Male"
"Happy Valley, Oregon","12/11/2012","Shopping Mall","Closed","random","terrorism",3,1,3,0,22,"No","Asian, Latino, or Other","Male"
"Brookfield, Wisconsin","10/21/2012","Azana Spa in Brookfield","Closed","Family/Personal","psycho",4,4,7,0,45,"No","Black","Male"
"Minneapolis, Minnesota","9/27/2012","Accent Signage Systems Building","Closed","Work","Other",7,2,8,0,36,"Yes","White","Male"
"Oak Creek, Wisconsin","8/5/2012","Sikh Temple","Closed","Other","Other",7,4,10,0,40,"No","White","Male"
"Aurora, Colorado","7/20/2012","Movie Theatre","Closed","random","terrorism",12,70,82,0,24,"Yes","White","Male"
"Seattle, Washington","5/30/2012","","Open+Closed","random","psycho",6,1,6,0,40,"Yes","White","Male"
"Seattle, Washington","5/20/2012","","Open+Closed","random","psycho",6,1,7,0,40,"Yes","White","Male"
"Oakland, California","4/2/2012","Nursing Classroom","Closed","random","terrorism",7,3,10,0,43,"Yes","Asian, Latino, or Other","Male"
"Chardon, Ohio","2/27/2012","Chardon High Scool","Closed","Children/School","terrorism",3,3,6,0,17,"Yes","White","Male"
"Norcross, Georgia","2/22/2012","Spa","Closed","Family/Personal","Anger/Frustration",5,0,5,0,59,"Yes","Asian, Latino, or Other","Male"
"Seal Beach, California","10/12/2011","Hair Salon","Open+Closed","Family/Personal","Anger/Frustration",8,1,9,0,41,"Yes","White","Male"
"Carson City, Nevada","9/6/2011","International House of Pancakes Restaurant","Closed","random","terrorism",5,7,12,0,32,"Yes","Asian, Latino, or Other","Male"
"Grand Rapids, Michigan","7/7/2011","","Open+Closed","Family/Personal","psycho",8,2,9,0,34,"Yes","Black","Male"
"Opelika, Alabama","4/6/2011","Opelika campus of Southern Union State Community College in Alabama","Open","Family/Personal","Anger/Frustration",1,3,4,0,34,"Yes","White","Male"
"Tucson, Arizona","1/8/2011","","Open","Other","terrorism",6,13,19,0,22,"Yes","White","Male"
"Huntsville, Alabama","2/12/2010","University of Alabama","Closed","Work","psycho",0,3,6,0,44,"No","White","Female"
"Parkland, Washington","11/29/2009","Coffee Shop","Closed","Other","Other",4,1,5,4,37,"Yes","Black","Male"
"Lakewood, Washington","11/29/2009","Coffee Shop","Closed","Other","Other",5,0,4,4,37,"Yes","Black","Male"
"Fort Hood, Texas","11/5/2009","Fort Hood Army Post","Closed","random","terrorism",13,32,45,0,39,"Yes","White","Male"
"Binghamton, New York","4/3/2009","American Civic Association Centre","Closed","random","terrorism",14,4,18,0,41,"Yes","Asian, Latino, or Other","Male"
"Carthage, North Carolina","3/29/2009","Nursing Home","Closed","Family/Personal","psycho",8,3,11,0,45,"Yes","White","Male"
"Santa Clara, California","3/29/2009","Home","Closed","Family/Personal","psycho",6,1,6,0,42,"No","Asian, Latino, or Other","Male"
"Carthage, North Carolina","3/29/2009","Nursing Home","Closed","Family/Personal","psycho",8,2,10,0,45,"Yes","White","Male"
"Geneva, Alabama","3/10/2009","","Open+Closed","random","psycho",11,6,16,0,28,"No","White","Male"
"Covina, California","12/24/2008","Home","Closed","Family/Personal","psycho",10,2,11,0,45,"No","White","Male"
"Conway, Arkansas","10/26/2008","Dormitory","Closed","Children/School","terrorism",0,1,3,0,19,"No","Black","Male"
