"year","country","state","city","shape","duration..seconds.","comments"
1956,"us","tx","edna","circle","20","My older brother and twin sister were leaving the only Edna theater at about 9 PM&#44...we had our bikes and I took a different route home"
1960,"us","hi","kaneohe","light","900","AS a Marine 1st Lt. flying an FJ4B fighter/attack aircraft on a solo night exercise&#44 I was at 50&#44000&#39 in a &quot;clean&quot; aircraft (no ordinan"
1961,"us","tn","bristol","sphere","300","My father is now 89 my brother 52 the girl with us now 51 myself 49 and the other fellow which worked with my father if he&#39s still livi"
1965,"us","ct","norwalk","disk","1200","A bright orange color changing to reddish color disk/saucer was observed hovering above power transmission lines."
1966,"us","al","pell city","disk","180","Strobe Lighted disk shape object observed close&#44 at low speeds&#44 and low altitude in Oct 1966 in Pell City Alabama"
1966,"us","fl","live oak","disk","120","Saucer zaps energy from powerline as my pregnant mother receives mental signals not to pass info"
1968,"us","ca","hawthorne","circle","300","ROUND &#44 ORANGE &#44 WITH WHAT I WOULD SAY WAS POLISHED METAL OF SOME KIND AROUND THE EDGES ."
1968,"us","nc","brevard","fireball","180","silent red /orange mass of energy floated by three of us in western North Carolina in the 60s"
1952,"us","mo","kansas city","disk","90","1952 daylight sighting of multiple discs in formation"
1954,"us","wv","flatwoods","circle","60","I saw the craft go across the horizon.  It appeared to be on fire&#44 I first thought it was a plane going down.  It landed near a farm."
1956,"us","nh","newport","rectangle","300","Disk with glass center section&#44 and flames behind the glass"
1957,"us","ak","nelchina (near)","unknown","180","This incident occurred about October of 1956 or &#8216;57. At the time&#44 I was Assistant station manager for a major airline in Anchorage as"
1957,"us","nj","paterson","disk","10","Formation of approximately 8 light gray metallic disks silently crossing the night sky around October 1957 in northern NJ"
1959,"us","il","jacksonville","unknown","60","Late 1959&#44 bright lights from a hovering object of unknown shape making a zed-zid zed-zid electrical sound."
1961,"us","oh","toledo","sphere","180","Observed dull silver metallic sphere hovering outside of bedroom window as a child.  Had direct communication with sphere."
1961,"us","ok","tulsa","disk","120","October&#44 1961&#44 Tulsa Oklahoma: low altitude&#44 slow&#44 disk object(s); high speed turns&#44 v. high accelleration."
1961,"us","tn","nashville","disk","1800","In October 1961&#44 a silvery flattened disk hovered motionless over a local school fair for more than 30 minutes."
1961,"us","nc","graham","triangle","30","3 flat&#44 large  white lights in delta pattern&#44 no sound&#44 flying at tree-top level at 35-40 mph"
1965,"us","ms","biloxi","other","900","Cloud&#44 hovering then moving at right angles with pulsating light coming from within"
1965,"us","va","colonial heights","sphere","120","Saw sphere ping-ponging up and down and side to side in blue sky."
1965,"us","pa","dushore","disk","300","It could move very slowly or very quickly but either way it moved without making any noise."
1966,"us","ny","buffalo","light","240","One of the bright stars moved north&#44 curved upward&#44 flew in a wide arc&#44 then accelerated up into the cosmos."
1966,"us","wa","anacortes","light","1200","20 miles driving toward Anacortes&#44a friend and I were listening to a radio station in Anacortes. The DJ said he had recieved calls abou"
1966,"us","ia","anamosa","unknown","60","large quiet  craft&#44 covered with blackness&#44 and &quot;stars&quot; to not be noticed&#44 moving slowly southwest to north north east."
1966,"us","or","corvallis","disk","120","Saucer with no sound flew 100 feet above ground&#44 changed direction then left atmosphere in a split second."
1967,"us","ny","chaffee","sphere","600","34 years ago and still &quot; seeking the truth&quot;"
1967,"us","il","greenville","circle","30","My son and I went to a ballpark close by to play- we were the only ones there&#44 I happened to look up and right over us&#44 were 3 round uf"
1967,"us","mn","minneapolis","disk","10","In October 1967&#44 2 Disks sited heading north over Minneapolis MN."
1968,"us","ma","boston","cigar","1200","as i woke up in the early morning a bright redish orange light bathed the living room&#44at first i thought it was a fire but the light wa"
1968,"us","me","kennebunkport","circle","600","While at the boathouse at St.Athonys one night we noticed what at first we thought was a bright star getting larger.It seemed to dart a"
1969,"us","ca","san francisco","oval","600","It was in the afternoon just before sunset at 20 Steiner St SF CA I saw above me and there was one other person who was with me on the"
1965,"us","pa","pittsburgh","circle","120","Saucer observed about 500 feet up moving into clear blue sky and flying square corners."
1965,"us","pa","pittsburgh","disk","60","Low UFO sliding out of a cloud into clear blue sky."
1966,"us","tx","mission","disk","5","I was driving to the hospital after work to visit my dad.   Suddenly&#44 about 3 blocks ahead of me a disc lite object appeared.  It arriv"
1969,"us","tn","millington","formation","259200","Star-like&#44 8-point inverted V-shape&#44 changed to V-shape&#44 executed 1-second shift  from directly South to directly West."
1969,"us","tn","memphis","formation","3600","One object joining 9 others to complete a triangular formation."
1965,"us","ok","ponca city (south of)","","15","SUDDENLY A BRILLIANT WHITE LIGHT LIT UP THE ENTIRE COUNTRY SIDE.  BRIGHTER THAN THE SUN. I GUESS AROUND A 1&#44000 FEET ABOVE GROUND&#44 COUL"
1952,"us","wa","richland","circle","5","Night sighting of seven large luminous UFOs flying in &quot;V&quot; formation"
1953,"us","tx","mauriceville","disk","300","My father was a WWW1 Vet. and loved hunting. The year was round 1953.We lived in a town of 300 people in southeast tex. Dad would take"
1954,"us","tx","blanco","other","300","We saw a silver football&#44 motionless in the sky; stopped &#44 looked about 3-5 mins. and resumed the trip."
1954,"us","mi","manistee","circle","8","Saucer shaped&#44 moved north to south directly above the street&#44 no sound&#44 moon was to the east"
1955,"us","ny","rhinebeck","light","2400","This very distant star-like point of light came very slowly up over the treeline from the Southwest&#44 stopped."
1957,"us","ny","new york city (queens)","","10800","tall unidentified being enters home - N.Y.C. 1957"
1957,"us","tx","houston (ellington afb)","light","3","5 to 6&quot; diameter light&#44 extremely fast&#44 silent&#44 made an impossible inside 45 degree turn&#44 and sped away horizontally."
1957,"us","co","commerce city (n. of denver)","fireball","600","A lot of methane gas in area"
1959,"us","wa","marysville","other","75","UFO  Over  Golf Course"
1961,"us","fl","indialantic","oval","120","Unbelievably Close to the Ground Surface."
1962,"us","il","chicago","other","10","SITTING IN AVALON PARK ON A FALL NIGHT AT APP.1030 PM I SAW A METALIC OBJECT TRAVELING FROM E TO W I DIDNT GIVE IT MUCH THOUGHT BUT IT"
1964,"us","oh","columbus","cigar","600","Child remembers seeing object over 40 years"
1965,"us","ny","new rochelle","sphere","2","knew they came and went all stoped  talked to my brain or?  ((NUFORC Note:  Report from retiree.  PD))"
1965,"us","ia","tabor","oval","2700","Craft hovers noiselessly over witnesses in 1965&#44 in Southwest Iowa&#44 is photographed by 2 photographers&#44 photos stolen later."
