"","V1"
"1",-14.21
"2",-12.61
"3",-11.86
"4",-11.04
"5",-9.97
"6",-9.34
"7",-8.01
"8",-7.78
"9",-7.75
"10",-7.43
"11",-7.29
"12",-7.29
"13",-6.84
"14",-6.49
"15",-6.48
"16",-6.44
"17",-6.32
"18",-6.02
"19",-5.85
"20",-5.72
"21",-5.66
"22",-5.66
"23",-5.52
"24",-5.45
"25",-5.42
"26",-5.3
"27",-5.18
"28",-5.12
"29",-4.92
"30",-4.92
"31",-4.89
"32",-4.87
"33",-4.83
"34",-4.8
"35",-4.75
"36",-4.74
"37",-4.69
"38",-4.67
"39",-4.61
"40",-4.58
"41",-4.56
"42",-4.41
"43",-4.38
"44",-4.18
"45",-4.16
"46",-4.16
"47",-4.16
"48",-4.11
"49",-4.03
"50",-4.01
"51",-3.93
"52",-3.91
"53",-3.86
"54",-3.72
"55",-3.68
"56",-3.61
"57",-3.61
"58",-3.44
"59",-3.4
"60",-3.37
"61",-3.32
"62",-3.32
"63",-3.31
"64",-3.26
"65",-3.17
"66",-3.16
"67",-2.97
"68",-2.92
"69",-2.89
"70",-2.88
"71",-2.86
"72",-2.82
"73",-2.82
"74",-2.8
"75",-2.65
"76",-2.64
"77",-2.53
"78",-2.46
"79",-2.41
"80",-2.4
"81",-2.36
"82",-2.35
"83",-2.34
"84",-2.32
"85",-2.27
"86",-2.23
"87",-2.15
"88",-2.14
"89",-2.13
"90",-2.12
"91",-2.08
"92",-2.06
"93",-2.05
"94",-2.04
"95",-1.98
"96",-1.96
"97",-1.86
"98",-1.85
"99",-1.84
"100",-1.83
"101",-1.83
"102",-1.82
"103",-1.76
"104",-1.75
"105",-1.65
"106",-1.55
"107",-1.54
"108",-1.53
"109",-1.52
"110",-1.51
"111",-1.51
"112",-1.47
"113",-1.4
"114",-1.39
"115",-1.38
"116",-1.35
"117",-1.32
"118",-1.27
"119",-1.26
"120",-1.15
"121",-1.14
"122",-1.1
"123",-1.06
"124",-1.04
"125",-1.02
"126",-1
"127",-0.92
"128",-0.91
"129",-0.86
"130",-0.83
"131",-0.82
"132",-0.76
"133",-0.74
"134",-0.69
"135",-0.68
"136",-0.65
"137",-0.64
"138",-0.59
"139",-0.56
"140",-0.44
"141",-0.37
"142",-0.25
"143",-0.23
"144",-0.22
"145",-0.13
"146",-0.11
"147",-0.08
"148",-0.07
"149",-0.05
"150",-0.05
"151",-0.04
"152",0.02
"153",0.02
"154",0.02
"155",0.03
"156",0.04
"157",0.04
"158",0.05
"159",0.05
"160",0.06
"161",0.07
"162",0.07
"163",0.1
"164",0.15
"165",0.16
"166",0.2
"167",0.21
"168",0.25
"169",0.27
"170",0.29
"171",0.32
"172",0.33
"173",0.34
"174",0.35
"175",0.35
"176",0.36
"177",0.36
"178",0.39
"179",0.39
"180",0.41
"181",0.42
"182",0.56
"183",0.57
"184",0.57
"185",0.64
"186",0.73
"187",0.74
"188",0.77
"189",0.81
"190",0.87
"191",0.89
"192",0.93
"193",0.99
"194",1
"195",1
"196",1.02
"197",1.06
"198",1.08
"199",1.09
"200",1.19
"201",1.21
"202",1.21
"203",1.22
"204",1.26
"205",1.27
"206",1.27
"207",1.29
"208",1.3
"209",1.3
"210",1.31
"211",1.31
"212",1.37
"213",1.39
"214",1.39
"215",1.4
"216",1.47
"217",1.51
"218",1.61
"219",1.63
"220",1.63
"221",1.67
"222",1.71
"223",1.76
"224",1.81
"225",1.83
"226",1.83
"227",1.84
"228",1.94
"229",1.94
"230",1.95
"231",1.97
"232",1.98
"233",2.01
"234",2.04
"235",2.14
"236",2.15
"237",2.15
"238",2.15
"239",2.36
"240",2.42
"241",2.43
"242",2.44
"243",2.52
"244",2.52
"245",2.58
"246",2.58
"247",2.58
"248",2.59
"249",2.62
"250",2.62
"251",2.62
"252",2.63
"253",2.65
"254",2.69
"255",2.69
"256",2.71
"257",2.81
"258",2.82
"259",2.83
"260",2.83
"261",2.84
"262",2.88
"263",2.89
"264",2.92
"265",2.96
"266",2.97
"267",2.97
"268",3
"269",3.02
"270",3.05
"271",3.12
"272",3.16
"273",3.19
"274",3.2
"275",3.21
"276",3.22
"277",3.24
"278",3.25
"279",3.26
"280",3.31
"281",3.31
"282",3.33
"283",3.39
"284",3.49
"285",3.6
"286",3.76
"287",3.77
"288",3.78
"289",3.79
"290",3.8
"291",3.83
"292",3.84
"293",3.87
"294",3.88
"295",3.96
"296",3.97
"297",3.99
"298",4
"299",4.03
"300",4.12
"301",4.14
"302",4.19
"303",4.21
"304",4.21
"305",4.27
"306",4.28
"307",4.31
"308",4.32
"309",4.37
"310",4.4
"311",4.49
"312",4.61
"313",4.74
"314",4.75
"315",4.81
"316",4.95
"317",5
"318",5.04
"319",5.04
"320",5.07
"321",5.09
"322",5.29
"323",5.3
"324",5.3
"325",5.39
"326",5.49
"327",5.55
"328",5.65
"329",5.7
"330",5.71
"331",5.74
"332",5.75
"333",5.79
"334",6.02
"335",6.2
"336",6.26
"337",6.48
"338",6.48
"339",6.48
"340",6.85
"341",7.05
"342",7.15
"343",7.16
"344",7.17
"345",7.82
"346",7.93
"347",7.94
"348",8.15
"349",8.25
"350",8.51
"351",8.56
"352",10.31
